Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
BPS,6310,GW1,,7,10,5,1,1,1,,,,,,,,,0,"Choi, Emily",,,,,,exc113230,emily choi
BPS,7303,0U1,,15,,,,,,,,,,,,,,0,"Watson, John M",,,,,,jmw077000,john watson
BUAN,6312,0W1,,12,13,6,5,3,3,2,,,,,,,,0,"Blueshtein, Moran","Nguyen, Nam H",,,,,mxb135230,moran blueshtein
BUAN,6320,5U1,,17,10,8,4,9,,,,,,,,,,0,"Srikanth, K.","Srivastava, Bhupesh K",,,,,kxs018700,
BUAN,6320,SW1,,9,,,2,,,,,,,,1,,,0,"Narayan, Ravishankar L",,,,,,rln130030,ravishankar narayan
BUAN,6337,0W1,,8,7,7,5,5,1,,,,,,,,,0,"Subramanian, Upender","Madan, Anmol","Roshangarzadeh, Reza",,,,uxs092000,upender subramanian
BUAN,6337,0W2,,11,10,9,13,11,3,,,,,,,,,0,"Subramanian, Upender","Madan, Anmol","Roshangarzadeh, Reza",,,,uxs092000,upender subramanian
BUAN,6340,5U1,,8,10,14,7,1,,,,,,,,,,0,"Pandian, Thiru","Zhu, Wangsheng",,,,,jap090020,jason parker
BUAN,6340,SW1,,6,6,2,2,2,,,,,,,,,,1,"Neouchi, Rabih",,,,,,rxn200012,rabih neouchi
BUAN,6341,5U1,,8,9,3,3,2,,,,,,,,,,0,"Sabir, Muhammad F","Joseph, Shailender",,,,,mfs170430,muhammad sabir
BUAN,6346,5D1,,11,3,5,1,,,,,,,,,,,0,"El-Youssef, Rami","Tang, Ping",,,,,rxe200001,rami el youssef
BUAN,6346,5U1,,25,4,8,3,,,,,,,,,,,1,"El-Youssef, Rami","Tang, Ping",,,,,jxp180019,jerry perez
BUAN,6346,SU1,,3,3,4,,,,,,,,,,,,0,"Perez, Jerry",,,,,,jxp180019,jerry perez
BUAN,6346,SW1,,13,7,2,3,1,,,,,,,,,,2,"Paes, Antonio P",,,,,,app210006,antonio paes
BUAN,6356,5U1,,5,5,,3,2,,1,,,,,,,,0,"Shrivastava, Prakash C","Kengalapura Shivamurthy, Sourabha",,,,,wlj031000,walter johnston
BUAN,6359,5U1,,7,3,,4,2,1,5,,,,,,,,0,"Ramezani, Rasoul","Ghosh, Pramit",,,,,rxr145930,rasoul ramezani
BUAN,6398,0W2,,52,4,1,2,,,,,,,,,,,0,"Alimirzaei, Athena","Qu, Zihao",,,,,axa134231,athena alimirzaei
BUAN,6398,5U1,,13,,4,3,1,1,,,,,,,,,0,"Sethi, Awanti",,,,,,axa134231,athena alimirzaei
BUAN,6398,SW1,,30,2,2,2,,1,2,,,,,2,,,1,"Alimirzaei, Athena","Qu, Zihao",,,,,axa134231,athena alimirzaei
CE,2310,0U1,2,,2,1,2,,,1,,,1,,,,,1,"Nikoubin, Tooraj","Datta, Rajesh K","Parchamdar, Baharealsadat",,,,txn190011,tooraj nikoubin
CE,3161,051,1,6,1,2,,,,,,,,,,,,0,"Mezenner, Rabah",,,,,,rxm129730,rabah mezenner
CE,3301,0U1,2,2,,1,2,,1,2,2,,1,,1,,,1,"Tacca, Marco","Luo, Ziyang",,,,,kamran,kamran kiasaleh
CE,3303,0U1,1,,2,3,,2,3,3,,,,1,1,,,1,"Kehtarnavaz, Nasser","Uddin, Mohammed Belal",,,,,nxk019000,nasser kehtarnavaz
CE,4203,0H1,4,4,1,4,,1,1,1,,,,,,,,0,"Kehtarnavaz, Nasser","Ni, Aoxin","Gogineni, Susmitha",,,,nxk019000,nasser kehtarnavaz
CE,4388,0U1,,5,2,1,2,1,,,,,,,,,,0,"Tacca, Marco",,,,,,dinesh,dinesh bhatia
CGS,3361,0W1,5,3,,2,,,,,,,,,,,,1,"Hooge, Kimberley O",,,,,,kls190004,kendra seaman
CGS,4352,0W1,,8,1,3,1,,,1,,,,,,,,1,"Kumar, Pushpa S","Tran, Trung Hieu",,,,,edo042000,erika orrick
CHEM,1111,1U1,5,5,,1,1,,,,,,,,1,,,1,"Qin, Yanping","Montalvillo, Fernando","Yan, Qing",,,,sgavva,sandhya gavva
CHEM,1112,1U2,1,8,1,1,1,,,1,1,,,,2,,,1,"Huang, Yu","Umer, Arslan","Hasna Begam, Mohammed Nazar",,,,sgavva,sandhya gavva
CHEM,1311,0U1,1,4,4,3,,3,,1,2,,,1,1,,,2,"Sra, Amandeep K","Gull, Humera",,,,,aks057000,amandeep sra
CHEM,1312,0U1,7,8,4,4,10,5,1,1,10,4,2,3,8,,,4,"Huang, Yu","Parsamian, Perouza","Gamage, Madujika A",,,,dieckgr,gregg dieckmann
CHEM,2125,1U2,24,,,2,,,,,,,,,,,,1,"Wijenayake, Sumudu N","Ben David, Ayala","Giri, Sachin",,,,scortes,sergio cortes
CHEM,2323,0U1,2,10,2,3,3,,7,2,4,1,,,6,,,3,"Tran, Daniel N",,,,,,sibertj,john sibert
CHEM,2325,0U1,8,2,5,5,4,2,4,5,4,1,4,,11,,,4,"Sibert, John W",,,,,,scortes,sergio cortes
COMD,5340,0U1,,24,,1,1,,,,,,,,,,,0,"Aldridge, Michelle A","Vu, Katrina D",,,,,aldridge,michelle aldridge
COMD,6320,0U1,,12,,,1,,,,,,,,,,,0,"Carter, Jessica A","Smith, Irma E",,,,,jar032000,
COMD,7303,0U1,,93,,,8,,,,,,,,,,,0,"Dean, Lucinda L","Kenedi, Helen",,,,,lxl018300,
COMD,7323,0U1,,14,,,1,,,,,,,,,,,0,"Sweeney, Melissa",,,,,,msweeney,
COMD,7V68,0U1,,29,,,,,,,,,,,,,,0,"Sale, Felicity F",,,,,,ffs013000,
COMD,7V86,0U1,,41,,,,,,,,,,,,,,0,"Rich, Judith B","Denicola-Prechtl, Kathleen M",,,,,jbm014600,
COMD,7V86,0U2,,18,,,,,,,,,,,,,,0,"Gollis, Christina R",,,,,,crm053000,christina gollis
COMD,7V89,0U1,,12,,,,,,,,,,,,,,0,"Walsh, Diane G",,,,,,dxg022000,diane walsh
COMM,1311,0S1,6,5,,,,,,,,,,1,,,,0,"Tanner, Lari J",,,,,,ljt130130,lari tanner
COMM,1311,0S2,4,6,2,,1,,,,,,,,,,,0,"Tanner, Lari J",,,,,,ljt130130,lari tanner
COMM,1311,0W1,8,9,2,,1,,,,,,,,1,,,2,"Vazzi, Lisa",,,,,,contemp,karen baynham
COMM,1311,0W2,3,2,2,1,,,1,1,,,,,,,,2,"Vazzi, Lisa",,,,,,aam141730,allison templeton
COMM,1315,0W1,7,4,3,,,1,1,,,,,,1,,,2,"Skiles, Bradley W",,,,,,jxw174630,jason warren
COMM,3342,0S1,,15,4,1,,,,,,,,,,,,0,"Gooch, John C",,,,,,jcg053000,john gooch
CRIM,1301,0U1,2,5,3,1,2,,,,,,,,,,,0,"Geibler, Robert",,,,,,jxr122330,
CRIM,1307,0U1,1,4,4,,1,,,,1,,,,,,,0,"Van Blarcum, Lauren N",,,,,,dxd171830,dragana derlic
CRIM,3301,0W1,15,9,9,2,4,4,1,1,3,,2,,2,,,3,"Manuel, Samantha A",,,,,,mxs158030,samantha manuel
CRIM,3302,0W2,2,5,2,2,4,2,,,,,,,,,,0,"Rodriguez, Diana C",,,,,,dcr200002,
CRIM,3310,0U1,3,8,1,2,2,,,,,,1,,,,,0,"Wilds, Katherine M",,,,,,spg160530,sarah gammell
CRIM,4311,0W1,5,1,6,2,1,2,3,1,,,,,3,,,0,"Gordon, Quinn T",,,,,,kds106020,kelli martin
CRIM,4396,5W1,4,17,5,8,14,6,3,3,,,,1,1,,,1,"Worrall, John L",,,,,,jlw064000,john worrall
CS,1134,1U1,12,2,2,2,,,,,1,,1,1,,,,0,"Min, Richard K","Hsu, Chih-Wei",,,,,gxa120930,gordon arnold
CS,1136,1U1,5,2,3,3,1,,,,1,,,,2,,,1,"Min, Richard K","Alshomar, Ahmad",,,,,gxa120930,gordon arnold
CS,1136,1U2,7,1,1,,,1,1,,,2,,,1,,,0,"Min, Richard K","Li, Dongcheng",,,,,gxa120930,gordon arnold
CS,1325,0U1,1,5,2,3,5,2,1,,,,,,,,,0,"Feng, Ranran","Li, Ruosen",,,,,mcp130030,mark paulk
CS,1334,0U1,4,3,4,5,2,1,,,3,,,,,,,0,"Nagar, Anurag","Ocampo Diaz, Gerardo",,,,,axn112530,anurag nagar
CS,1335,5U1,2,2,9,3,,,,,,,,,1,,,1,"Erbatur, Serdar","Li, Xiao",,,,,sxe190003,serdar erbatur
CS,1336,0U1,2,1,1,3,4,2,3,2,,,1,,3,,,1,"Gupta, Neeraj K","Birashk, Amin","Deniz, Omer Faruk",,,,gxa120930,gordon arnold
CS,1336,0U2,5,3,2,1,2,,1,2,,1,1,,1,,,0,"Arnold, Gordon L",,,,,,gxa120930,gordon arnold
CS,1337,0U1,3,6,5,3,9,1,3,2,,1,,,2,,,1,"Dollinger, Scott M","Delaram, Zeinab","Chen, Zizhao",,,,cshields,charles shields
CS,1337,5U1,1,5,3,2,7,4,6,,,,,,,,,0,"Davis, Chris I","Zeng, Yankai",,,,,cid021000,chris davis
CS,2305,0U1,3,11,7,4,3,1,2,2,,,,,,,,1,"Feng, Ranran","Guo, Jinghui",,,,,rxf090020,ranran feng
CS,2336,0U1,3,5,1,,1,,2,,,,,,4,,,1,"Arnold, Gordon L",,,,,,kkhan,ziaullah khan
